page_num,img_file,ocr_engine,translator,line_num,German,English
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,18,"Nr. ,162, der mit seinem scharfen Gedächtnis über die Geschicht)","michael brücker - no. 1 & quot ; - l -,"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,19,"der letzten 5 Jahrzehnte viele Daten anzugeben wußte v -« - ,-","tkfs guilty, who could announce some of the events of earlier times"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,20,So möge denn dies bescheidene Büchlein der Offentlid ngi,", as well as your - now as a result of a z"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,21,übergeben werden. E-,ls - accident that has already passed away - johann bolz ( buchmanne
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,22,«- - . Exis-,"- f · no., 162, who, with his keen"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,23,"l Nowe-Schowe, itn November 1923. III-","memory of the history ) of the past 5 decades, had been"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,24,"« — . — , Der Verfasser","able to supply a lot of data v - « -, -"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,25,. . sp zszl,so may this humble booklet be given to offentlid ngi. e -
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,26,"s, « i ·J ,- «","« -. exis - l nowe - schowe, itn november 1923"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,27,H . j g- OEL-,". iii - « -. -, the author.. sp"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,28,- gs Es,"zszl s, « i · j, - « h. jg"
1,Neu_Schowe_Church_01.jpg,Tesseract,Google,29,. EDIT -. -,- oel - gs it. edit -. -
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,1,Einleitung .,introduction. when emperor josef h took over the government
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,2,Als KaiserJosef der H im Jahre 1780 die Regierung,"of former austria - hungary in 1780, his main"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,3,"« des ehemaligen Osterreich-Ungarns Übernahm, war seine Haupt- ""","- & quot ; take care of the barren,"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,4,"sorge die öden, oerlassenen Gegenden nnd spärlich bevölkerten",abandoned regions and sparsely populated parts of his country with
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,5,- Teile seiner Länder mit Ansiedlern aus Deutschland zu bevölkern.,populations from germany. & quot ; & # 39
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,6,"""’«""-7- « Jn dem Patente vqu 21. September 1782 welches er",; « & quot ; - 7 - « in
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,7,"an den kaiserlichen Kommissar iu Frankfurt erließ, forderte er ,","the patent of september 21, 1782, which he"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,8,deutsche Familien anf sich in seinen Ländern anzsiedeln. Er,"issued to the imperial commissioner in frankfurt, he demanded"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,9,Versprach jedem Kolonisten vollkommene Gewissens- nnd Religions-,that german families begin to settle in his countries.
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,10,""" freiheit, versprach fiir Geistliche, Lehrer-, Kirche nnd Schule zu","church and school, every family with a hans and"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,11,"sorgen, jede Familie mit einem Hans und Garten, mit Ackerfeld","garden, with arable fields and meadows, as well"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,12,"g « nnd Wiese, wie auch mit dem nötigen Zug- und Zuchtvieh, dann","as with the necessary draft and breeding cattle, then"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,13,""" ·7 Feld- und Hausgerätschaften zu beschenken. Den Handwerkern ver-",& quot ; 7 field and household equipment. he
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,14,sprach er die nötigen Hausgerätschaften und zur Anschaffung der,promised the craftsmen the necessary household appliances and to buy
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,15,Werkzeuge 50 Rh. Gulden in Bargeld auszuzahlen Der älteste,tools 50 rh. guilders in cash the eldest son
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,16,Sohn jeder Familie solle vom Militärdienst befreit sein« Jede,of each family should be exempt from military service «
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,17,Familie erhält von Wien freie Transportierung bis auf Ort und,every family receives from vienna f travel transport to the
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,18,"Stelle der Ansiedlung und Verpflegung so lange, bis die Familie",place and place of settlement and catering until the family
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,19,im Stande ist sich selbst zu erhalten. Für die während der Reise,"is able to maintain itself. hospitals and careful,"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,20,"erkrankten Ankömmlinge wurden Spitäler und sorgfältige, unent-",free care were given to the newcomers who fell ill
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,21,- geltliche Pflege iu Aussicht gestellt. Endlich wurde jeder Ausiedler,during the trip. finally every resettler was exempt from
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,22,guf die Dauer von 10 Jahren von allen Steuern nnd Abgabeu,taxes and duties for 10 years.. «.
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,23,efreit. . «,colonization was hardly ever initiated under more favorable boron conditions
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,24,. Unter giinstigeren Borbedingungen wurde wohl kaum jemals,"when the patent appeared, the residents of the rhine"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,25,"eine Kolonisierung eingeleitet Als das Patent erschien, bemächtigte",region seized such wanderlust as if everything wanted to emigrate
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,26,"sich der Bewohner der Rheingegend eine derartige Wanderlust,",". especially from the palatinate, two - bridges,"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,27,"als ob alles auswandern wollte. Besonders aus der Pfalz, Zwei-","hesse, - where agriculture was in particular bloom -"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,28,"brücken, Hessen, — wo die Landwirtschaft in besonderer Blüte",thousands and thousands took up the hiking stick to find
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,29,- stand — ergriffen Tausende und Tausende den Wanderstab um -,a new home in the & quot ; promised land
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,30,"in dem ,,gelobten Lande« eine neue Heimat zu finden.",& quot ;. what a heavy heart many a
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,31,"Welch schweren Herzens mag so mancher die alte Heimat, -","man may have left his old homeland, his parents"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,32,"das Elternhaus, seine Angehörigen verlassen haben! Wie beschwer-","& # 39 ; house, his relatives ! how"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,33,".-- lich war wohl die Reise! Man bedenke doch, was es bedeutet, —-",difficult -. - probably was the trip ! just
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,34,". lange, lange Wochen — teils zu Fuß, teils auf Regensburger","think what it means - -. long, long"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,35,"' oder Ulmer kleinen Schiffen— unterwegs zu sein, einem unbekannten","weeks - partly on foot, partly on regensburg or"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,36,", Schicksal entgegengeheu, sich in einem nie gesehenen Lande unter","small ulm ships - to be on the move,"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,37,ganz fremden Menschen uiederlasseu! Wie bange mußte es ihnen,"facing an unknown, destiny, settling in a country"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,38,"s doch zu Mute gewesen sein, als sie in der Einöde, so ganz allein",never seen before among strangers ! how anxious they must
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,39,dastanden und an die Zukunft ihrer Kinder dachten« als sie an,"have been when they stood in the wilderness, standing"
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,40,"Stelle der verlassenen Heimat eine verwilderte, mit Rohr, Gestrüpp",all alone and thinking about their children & # 39
2,Neu_Schowe_Church_02.jpg,Tesseract,Google,41,bewachseue unbekannte Gegend fanden und au die vielen Müh- -«,"; s future, & quot ; when they found"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,1,— 4 —,- 4 - - thought blissful things that awaited them -
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,2,"- seligkeiten dachten, welche ihnen bevor-standen um aus der Wildnis -",to create a blossoming home out of the wilderness. and
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,3,sich ein blühendes Heim zu schaffen. Und dennoch kamen sie scha-,yet they came in droves. within 3 years ( 1784
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,4,renweise.,- 1787 ) 9 became protestants. and 11 roman cath
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,5,Innerhalb 3 Jahren (1784—1787) wurden 9 protestantische .,. villages with about 3500 families. the settlement of the
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,6,nnd 11 röm. kath. Ortschaften mit etwa 3500 Familien angesiedelt.,community. the first settlers of our place came to torza
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,7,Die Ansiedlung der Gemeinde.,"in the harshest of 1785, where they overwintered with their"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,8,Die ersten Ansiedler unseres Ortes kamen im Herbste des,compatriots already there in 1784 and settled in the spring of
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,9,"Jahres 1785 bis nach TorZa, wo sie bei ihren dort schon 1784",1786 on the eastern side of the serbian village of schowe
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,10,angesiedelten Landsleuten überwinterteu und sich im Frühjahre des,", which had existed for an indefinite period. ( where"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,11,Jahres 1786 an der östlichen Seite des schon seit unbestimmter,- the name schowe & quot ; comes from cannot be
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,12,Zeit bestehenden serbischen Dorfes Schowe« ansiedelten. (Woher -,"researched. in old documents, the name schowe & quot"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,13,"der Name Schowe« kommt, läßt sich nicht erforschen. Jn alten",; first appeared in 1590 as a village with 12 taxed
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,14,Urkunden kommt der Name Schowe« zum ersten Male im Jahre,"men. ) according to the imperial regulation, they should"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,15,"1590 vor, als ein Dorf mit 12 besteuerten Hänsern.)","not be here, but on the between & quot ;"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,16,"Laut kaiserlicher Bestimmung sollten sie nicht hier, sondern",schuge & quot ; and & quot ; kuzura & quot
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,17,"auf der zwischen Schowe und Kuzura gelegenen ,,Ugarska""-Pnsta -",; & quot ; ugarska & quot ; - pnsta -
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,18,"(Jakob Kolter Sallasch) angesiedelt werden, zogen es aber vor sich","( jakob kolter sallasch ), but preferred to settle in"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,19,"in der Nachbarschaft von Stareschowe anzusiedeln, was ihnen auf «","the neighborhood of stareschowe, which was also granted to them"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,20,ihr Ausnchen auch bewilligt wurde·,on & quot ; their little house & quot ;.
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,21,Die Hansplätze erhielten sie am 26. Mai 1786 angewiesen,"they were given hans place on may 26th in 1786,"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,22,Cs wurden in zwei Gassen je zwei Eckeu« aufgemessen in f,cs were measured in two aisles in each of two corners
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,23,"der Hauptgasse von dem Hause des Ludwig Haller Nr. 85 bis ( ,",in f hauptgasse from the house of ludwig haller no.
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,24,"zu Josef Bolz, Kaufmann Nr. 100, in der Laugen Gasse von Karl","85 to ( to josef bolz, kaufmann no. 100"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,25,"Reidl Nr. 154 bis Johann Kolter Nr. 169, in jeder Gasse auf","), in the lye alley from karl reidl no."
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,26,"beiden Gassenseiteu. Kirche, Schule, Pfarrhaus sind gleich von","154 to johann kolter no. 169, in each alley"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,27,"— Anbeginn dorthin angewiesen worden, wo sie heute stehen. Der","on both side of the street and the church, school"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,28,"Platz wo heute die evang. Kirche und das evang. Pfarrhaus steht,",", rectory were assigned from the beginning to where they are"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,29,war der s. g. Gemeindeplatz«.,today - the place where the protestant church and the vicarage
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,30,"Bis die Häuser aufgebaut wurden, machte sich jede Familie",are today the s. g. community square «.
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,31,"auf ihren Hausplatz eine Rohrhiitte Hier versammelten sich die ,","until the houses were built, each family made a cane"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,32,"Nachbaren nach des Tages Arbeit, oder am Sonntage alle Biolo-","on their place in the house, where the neighbors gathered"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,33,"nisten, um miteinander zu singen, beten und Trost zu suchen, sich zu","after the day & # 39 ; s work, or"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,34,stärken. So mancher Großvater und manche Großmutter weiß sich,"on sundays all the biolonists to sing, pray and seek"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,35,"noch heute zn erinnern, was ihm oder ihr darüber — als kleinem",consolation to strengthen themselves. so many grandfathers and some grandmothers
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,36,Kinde — die Großmutter an deu langen Winterabenden erzählte-.,still remember today what the grandmother told him or her about
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,37,« Die erste Ansiedlung bestand ans 54 Familien — darunter,it - as a small child - on the long winter
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,38,— 5 evangelische. Sie wurden deinserbischen Schowe angegliedert,evenings. « the first settlement consisted of 54 families -
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,39,in kirchlichen Angelegenheiten nahmen sie die Dienste der prote-,including 5 evangelicals. they were attached to your serbian schowe
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,40,"stantischen Geistlichen der Umgegend in Anspruch, bis sie am l. « """,in ecclesiastical affairs they used the services of the protestant clergy
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,41,Jänner 1788 von dem Traktual-Kousistorinm in Keeskemet —,in the area until on l. & quot ; &
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,42,wohin damals noch alle ref. Kirchengemeinden der Batschka gehörten,quot ; january 1788 from the traktual - kousistorinm in keeskemet
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,43,— als Filialgemeinde unter dem Namen diieuschowe« der damals,- where all the ref. parishes of the batschka belonged
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,44,schon bestandenen Mirttergemeinde Torka ungegliedert wurde. Jm,at that time - as branch parish under the name diieuschowe
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,45,ersten Protokolle der Rirchengemeinde ist durch den damaligen,"« the mirtter parish torka, which already existed at the"
3,Neu_Schowe_Church_03.jpg,Tesseract,Google,46,Tot-Eiter Pfarrer Philipp Keck Folgende-F- eingetragen,"time, was disassociated. pastor philipp keck entered the following"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,1,- . .. 5 —,-... 5 - this parish was founded in
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,2,"Diese Gemeinde wurde im Jahre 1786, unter der","1786, under the government of sr. k. k"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,3,Regierung Sr. K. K. Majestät Joseph 2-ten mit allergnä- «,. majesty joseph 2 - with the most gracious favor of
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,4,"digster Begünstigung Hauses, Grundes, Zug- und Melkviehe, ·","house, land, zug - and milking cattle, yausgerätehe"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,5,Yausgeräthe und 10 jähriger Freyheit angesiedelt mit 54 -,and 10 years of freedom settled with 54 - house tents
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,6,"Häuserth worunter 5 Evangelisch-Lutherische Männer, die",", among them 5 evangelical - lutheran men, but the"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,7,übrigen aber Reformirt waren auch wenn es nicht wegen,rest were reformed even if it was not because of their
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,8,"ihren Weibern und Freunden geschehen, nicht von der Caal.","women and friends happen, not from the caal. rule"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,9,"Herrschaft hinein gelassen worden wären, weil der Ort bei",would have been let in because the place was named a
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,10,der Ansiedlung ein reformirter Ort ernannt war auch als,reformed place at the settlement and should also be a branch
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,11,ein Filial von der Torschauer reformirten Kirche sein sollte.,of the reformed church in torsch. it was also provided
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,12,Sie wurde auch vom Anno 1788 bis 1796 durch die dasje-,from the year 1788 to 1796 by the dasje - geu
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,13,geu Prediger versehen,preachers. the first 54 settled families had migrated from kurpfalz
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,14,Die ersten 54 angesiedelten Familien waren aus Kur-,and the duchy of pfalz - zweibriücken. - since this
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,15,pfalz und dem Herzogthum Pfalz-Zweibriicken hergewaudert. -,place was the last of the ansiedluuga and still needed people
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,16,Da nun dieser Ort der letzte der AnsiedluugA und zu seiner,to complement it - several evangelicals also came in - however
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,17,v Ergänzung noch Menschen nötlich hatte so kamen auch noch,with the express reservation of the lord schaft sides if the
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,18,- mehrere Evangelischen herein — jedoch mit dem von Herr-,"congregation multiply, and one of its own pastors and school"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,19,schaft-Seiten ausdrücklichen Vorbehalt Wenn sich die Ge-,teachers can receive such reforms and they. - help to
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,20,"meinde vermehren, und einmal einen eigenen Pfarrer und",get the same in all. - since now grew to
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,21,"Schullehrer erhalten können, solche Reformiert sein und sie","80 families under a period of 10 years, and now"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,22,.- selbe in allen erhalten helfen müssen. — Da nun unter,thought to be able to maintain an own - pastor -
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,23,"einer Zeit von 10 Jahren bis auf 80 Familien gewachsen,",because a schoolteacher by the name of wilhelm michaeliz already gave
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,24,und sich nun im Stande zu sein gedacht einen eigenen,the - « reign in the 2nd year salaries until the
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,25,— Pfarrer erhalten zu können — denn einen Schullehren mit,end of their frey years with annual 75 rh. flor
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,26,Namen Wilhelm Michaeliz gab schon im 2-ten Jahre die -«,· 24 presburger butts half - fruit and 6 butts kukuruz
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,27,Herrschaft mit Besoldung bis Zum Verfluß ihrer Freyjahre,with vacant apartment - -. so request - all of
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,28,mit jährl. 75 Rh. Flor· 24 Presburger Metzen Halbfrucht,"them in 1796 the venerable reformirte - kecskemeter consistorimn, as"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,29,und 6 Metzen Kukuruz nebst freier Wohnung ——. So ersuch-,"well as the laudable county, and the hungarian court chamber"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,30,teu sie sämtl. im Jahre 1796 das Hochwürdige Reformirte,", which the former then not only permitted on both high"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,31,"- Kecskemeter Consistorimn, wie auch das Löbliche Comitat,",- ranking authorities. but also in the said 1796 -
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,32,"uud die Hungarische Hofkammer, welches erstere sodann auf","the well - deserved reformed h. jakob hederich, who"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,33,beider hochen Steller Benemigung es nicht nur gestattetet,previously spent 6 years as a reformed preacher in the temescher
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,34,. sondern auch noch im besagt 1796-zigsten Jahre den Wohl-,",. spoken to darling and rittberg, as real,"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,35,"erwürdigen Reformirten H. Jakob Hederich, welcher ehedem",first and first preacher all deployed here. & quot ;
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,36,"durch 6 Jahre, als reformirter Prediger, in der Temescher , .",& quot ; - - - - « who were the
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,37,"Gespauschaft zu Liebling und Rittberg gestanden, als wirk-",first settlers to settle in our place can no longer be
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,38,", lichen und ersten Prediger all hier eingesetzet.«",determined exactly. a list of these is not available from
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,39,"""-—- —« Wer die ersten Ansiedler waren, die sich in unserem Orte","the baptism, marriage and death records, that among the"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,40,"niederließen, läßt sich nicht mehr genau bestimmen Ein Verzeichnis","first settle the families bolz, brücker, braun, buchmaun"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,41,"derselben ist nicht vorhanden Aus den Tauf-, Trauungs- und",", durß, thick, fox, fork, gener,"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,42,". Sterbematrifeln ist zu entnehmen, daß unter den ersten Ansiedlern","haller, breath, hero, hobler, h1msinger, warriors"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,43,"die Familien Bolz, Brücker, Braun, Buchmaun, Dauß, Dick,",", klein, lehr, lenhardt, lepold, mauß,"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,44,"Fuchs, Gabel, Gener, Haller, Hauch, Held, Hobler, H1msinger,","morgenstern, - - - d & quot ; « )"
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,45,"Krieger, Klein, Lehr, Lenhardt, Lepold, Mauß, Morgenstern, —",to neuschowe only jarek was settled in 1787.
4,Neu_Schowe_Church_04.jpg,Tesseract,Google,46,"— — d""«) Nach Neuschowe wurde nur noch Jarek im Jahre 1787 angesiedelt.",
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,1,— S — -,"- s - - müller, poth, riegel"
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,2,"Müller, Poth, Riegel, Rieth, Scherer, Schiff, Schmidt, Schneider,",", rieth, scherer, schiff, schmidt,"
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,3,"Seebach, Seht, Schick, Urschel, Welker,Wentz, Wehand,Wohl, Zauger -","schneider, seebach, see, chic, urschel"
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,4,vertreten waren. Die späteren Ankönnnlinge wurden unter den —,", welker, wentz, wehand, well,"
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,5,erst nur miindlich gestellten — Bedingungen in die ref. Kirchen-,zauger - were represented. the later acquaintances were
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,6,"gemeinschaft aufgenommen, daß sie zur Erhaltung der Kirche und -",transferred to the ref. under the - only
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,7,"Schule alle Lasten proportionell tragen helfen, daß die zu wäh- .",oral - conditions. church community included that they
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,8,"lendeu Pfarrer und Lehrer reformiert sein sollen, daß sie ihre",help to bear the burden of the church and
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,9,noch nicht konfirmierten Kinder in dem ref. Glauben erziehen und,"- school proportionally, that the to choose -"
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,10,sich dem ref. Consistorium unterwerfen und zwar auf immer nnd,. lendeu pastor and teacher should be reformed so
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,11,"ewig, ohne Zeitbestinnnung.«",that they have their not yet confirmed children in
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,12,Gründung der Kirchengcmcinde. - -,the ref. believe educate and become the ref
5,Neu_Schowe_Church_05.jpg,Tesseract,Google,13,Die Kirchengemeinde wurde als Filial-Gemeinde vom 1.,". submit consistorium forever and forever, without timing"
